timestampAdded\ttitle\tdescription\tlatitude\tlongitude\tkeywords\tcategories
1624536000\tAthens\tThe historical capital of Greece\t37.9838\t23.7275\tancient,history\tTravel,Destinations
1624641600\tNew York\tThe city that never sleeps\t40.7128\t-74.0060\turban,culture\tTravel,Destinations
1624747200\tParis\tThe city of love and lights\t48.8566\t2.3522\tromance,architecture\tTravel,Destinations
1624852800\tTokyo\tThe bustling metropolis of Japan\t35.6895\t139.6917\tvibrant,cuisine\tTravel,Destinations
1624958400\tSydney\tThe stunning harbor city\t-33.8688\t151.2093\tbeaches,opera house\tTravel,Destinations
1625064000\tRome\tThe eternal city with rich history\t41.9028\t12.4964\tancient ruins,art\tTravel,Destinations
1625174600\tAcropolis\tThe iconic ancient citadel in Athens\t37.9715\t23.7268\tarchaeological site\tLandmarks
1625285200\tEmpire State Building\tA renowned skyscraper in New York\t40.7488\t-73.9857\tobservation deck\tLandmarks
1625395800\tEiffel Tower\tThe symbol of Paris and French culture\t48.8584\t2.2945\ticonic monument\tLandmarks
1625506400\tShibuya Crossing\tThe famous intersection in Tokyo\t35.6591\t139.7006\tbusiest pedestrian crossing\tLandmarks
